company,location,distance_from_vadodara_km,career_link,apply_method,target_roles,osd_tablet
Sun Pharmaceutical Industries,"Halol, Panchmahal",45,https://careers.sunpharma.com/,Official portal (search "Halol"),QA Officer / IPQA / Production QA,Yes
Alembic Pharmaceuticals,"Vadodara / Panelav (Halol)",10,https://alembicpharmaceuticals.com/careers.aspx,Official portal,QA / IPQA / Documentation QA,Yes
Bharat Parenterals Ltd,"Haripura, Savli, Vadodara",25,https://in.indeed.com/cmp/Bharat-Parenterals-Ltd,Portal/Indeed (no public HR email),QA / IPQA (Tablet & Injectable),Yes
Lupin Manufacturing Solutions,"Dabhasa, Vadodara",30,https://www.lupin.com/careers/,Official portal + walk-ins,QC / QA,Yes
West-Coast Pharmaceutical Works,"Vadodara (Gorwa/Halol)",12,https://in.indeed.com/cmp/West--coast-Pharmaceutical-Works-Ltd,Portal/Indeed,QA / IPQA / Production,Yes
Torrent Pharmaceuticals,"Indrad (Mehsana) / Dahej",110,https://www.torrentpharma.com/careers/join-us/,Official portal,QA / IPQA Officer,Yes
Intas Pharmaceuticals,"Matoda / Sanand (Ahmedabad)",100,https://www.intaspharma.com/careers/,Official portal (intasaccordcareers.com),QA / IPQA / Documentation,Yes
Zydus Lifesciences,"Moraiya / Ahmedabad",100,https://www.zyduslife.com/career,Official portal,QA / IPQA Officer (OSD),Yes
Cadila Pharmaceuticals,"Dholka (Ahmedabad)",90,https://careers.cadilapharma.com/in/en,Official portal,QA / IPQA / Production QA,Yes
Ajanta Pharma,"Vadodara / Bharuch (walk-ins)",60,https://www.ajantapharma.com/careers,Official portal + current walk-in,QA / QC / Manufacturing,Yes
Corona Remedies,"Ahmedabad",95,https://www.coronaremedies.com/career/,Official portal + walk-in,QA / QC / Production,Yes
Finecure Pharmaceuticals,"Ahmedabad",100,https://www.finecure.in/,Careers section / Indeed,QA / IPQA (Tablet/Capsule),Yes
Centaur Pharmaceuticals,"Vadodara / Pune",15,https://www.centaurpharma.com/careers/,Official portal,QA / IPQA,Yes
Maxim Pharmaceuticals,"Vadodara",8,https://www.maximpharma.com/,Careers section (verify on site),QA / IPQA,Yes
Stallion Laboratories,"Vadodara",10,https://www.stallenlabs.com/,Careers section (verify on site),QA / IPQA / Production,Yes

Amneal Pharmaceuticals India,"Ahmedabad",100,https://india.amneal.com/careers,Official portal (IPQA roles posted),QA / IPQA Officer,Yes
JB Pharma (J.B. Chemicals),"Panoli, Ankleshwar",70,https://jbpharma.com/careers/,Official portal,QA / IPQA / Production,Yes
Zentiva,"Ankleshwar",70,https://www.zentiva.com/careers,Official portal / Indeed,QC / QA Officer,Yes
Lincoln Pharmaceuticals,"Khatraj / Ahmedabad",95,https://www.lincolnpharma.com/career.php,Careers section,QA / IPQA / Production,Yes
Macleods Pharmaceuticals,"Pan-India (Gujarat units)",110,https://www.macleodspharma.com/careers,Official portal + walk-ins,QA / IPQA / Doc QA,Yes
Eris Lifesciences,"Ahmedabad / Guwahati",100,https://www.eris.co.in/careers.php,Careers section,QA / IPQA,Yes
Troikaa Pharmaceuticals,"Ahmedabad / Dehradun",100,https://www.troikaapharma.com/careers,Careers section,QA / IPQA,Yes
Gufic Biosciences,"Navsari",120,https://gufic.com/careers/,Official portal,QA / IPQA (Injectable),No-Injectable
Cadila Pharma (API SBU),"Ankleshwar / Dahej",80,https://careers.cadilapharma.com/in/en,Official portal,QA / IPQA (API),No-API
Sun Pharma (Ankleshwar API),"Ankleshwar",70,https://careers.sunpharma.com/,Official portal,QA (API),No-API
