key,date_added,company,job_title,department,location,walk_in,source_url,official_email,official_phone,eligibility,salary,company_size,match_score,score_reason,subject,email,linkedin_note,linkedin_message,followup_day3,followup_day7,status
dcb740fdee35,2026-08-16,Neuland Laboratories Limited,Chemist/Officer,Production,Hyderabad,"22nd August '2026 (Saturday) From 10:00 Hrs to 16:00 Hrs at Talent Acquisition Centre, Bhagyaradhi Degree College, 1st Floor, Near IDPL X Roads, Hyderabad.",https://www.pharmatutor.org/content/august-2026/hiring-for-production-quality-control-and-assurance-at-neuland,NOT VERIFIED,NOT VERIFIED,B.Sc./ M.Sc./ B.Tech (Chemical) + 3-7 Years,Best In the Industry & Joining bonus will be given subject to early joining.,,15,Role is not QA-related and location is outside priority Gujarat hubs.,,,,,,,new
2a2cb07e3c27,2026-08-16,Neuland Laboratories Limited,Executive,Quality Assurance,Hyderabad,"22nd August '2026 (Saturday) From 10:00 Hrs to 16:00 Hrs at Talent Acquisition Centre, Bhagyaradhi Degree College, 1st Floor, Near IDPL X Roads, Hyderabad.",https://www.pharmatutor.org/content/august-2026/hiring-for-production-quality-control-and-assurance-at-neuland,NOT VERIFIED,NOT VERIFIED,B.Sc./ M.Sc./ B.Pharmacy + 5-8 Years,Best In the Industry & Joining bonus will be given subject to early joining.,,15,"Role requires 5-8 years of experience, which is significantly higher than the candidate's 2 years.",,,,,,,new
b42e4755f1c3,2026-08-18,PGIMER,Project Scientist-I,Department of Pharmacology,Chandigarh,,https://www.pharmatutor.org/content/august-2026/research-recruitment-for-pharma-life-sciences-biotechnology-candidates-at-pgimer,dr.smita.lab@gmail.com,NOT VERIFIED,First Class Postgraduate Degree in M.Sc./M.Tech/M.Pharm. in Life Sciences /Pharmaceutical Sciences / Biotechnology / Pharmacology or allied subjects with 2 years of research experience OR Ph.D. in relevant subject.,,MNC,15,Role is not pharma-QA related and location is not relevant.,,,,,,,new
9e8bba5cc137,2026-08-18,HLL Lifecare Limited,Senior Production Assistant (Pharma),,"Kanagala Factory, Kanagala – 591 225, Belagavi (Dist.) Karnataka",,https://www.pharmatutor.org/content/august-2026/hll-lifecare-requires-pharma-production-assistant,NOT VERIFIED,NOT VERIFIED,"Diploma in Pharmacy or B.Sc, Minimum 3+ years of experience in production department of Pharmaceutical plant or any other similar industry.","Rs.10000-20000, Approximate Gross Salary per month: Rs.19770",MNC,15,Role is senior and requires more experience than candidate has.,,,,,,,new
405c22a9fedf,2026-08-18,HLL Lifecare Limited,Senior Production Assistant (Pharma),,"Kanagala Factory, Kanagala – 591 225, Belagavi, Karnataka",,https://www.pharmatutor.org/content/august-2026/hll-lifecare-requires-pharma-production-assistant,NOT VERIFIED,NOT VERIFIED,Diploma in Pharmacy or B.Sc + Minimum 3+ years of experience in production department of Pharmaceutical plant,Rs.10000-20000; Approximate Gross Salary per month: Rs.19770,MNC,15,Role is not relevant to QA/IPQA and requires more experience than the candidate has.,,,,,,,new
ce3170b2b030,2026-08-20,Dr. Reddy’s Institute of Life Sciences (DRILS),Research Associate – Formulation,R&D,"University of Hyderabad Campus, Gachibowli, Hyderabad",,https://www.pharmatutor.org/content/august-2026/job-for-pharma-chemistry-or-life-sciences-candidates-at-drils,hr@drils.org,NOT VERIFIED,M. Pharm/ M. Sc. in Chemistry/ Biochemistry/ Pharmaceutical sciences/a relevant branch of Engineering or Life Sciences + 1 year industrial experience in the Formulation Department,,,15,Role is not pharma-QA related and location is outside priority Gujarat hubs.,,,,,,,new
2c4b46ef17aa,2026-08-21,CSIR Innovation Complex,Senior Project Associate ADME-PK,,Mumbai,"01st September, 2026 at 9.30 am",https://www.pharmatutor.org/content/august-2026/csir-innovation-complex-recruitment-2026-interview-for-pharma-chemistry-life-sciences-biotechnology-candidates,NOT VERIFIED,NOT VERIFIED,Masters/Integrated Masters in Degree from recognized university or equivalent AND 3 years experience OR Bachelor's degree in Engineering or Technology or Medicine from a recognized University or equivalent AND 3 years experience,"Rs. 42,000/- + HRA",,15,The role is not QA-related and requires more experience than the candidate has.,,,,,,,new
fbadec523918,2026-08-21,CSIR Innovation Complex,Senior Project Associate Analytical Chemistry,,Mumbai,"01st September, 2026 at 9.30 am",https://www.pharmatutor.org/content/august-2026/csir-innovation-complex-recruitment-2026-interview-for-pharma-chemistry-life-sciences-biotechnology-candidates,NOT VERIFIED,NOT VERIFIED,Masters/Integrated Masters in Degree from recognized university or equivalent AND 3 years experience OR Bachelor's degree in Engineering or Technology or Medicine from a recognized University or equivalent AND 3 years experience,"Rs. 42,000/- + HRA",,15,Role is not QA-related and requires more experience than the candidate has.,,,,,,,new
2ff7593856b1,2026-08-21,Indian Pharmacopoeia Commission,Pharmacovigilance Assistant,Pharmacovigilance Programme of India,Ghaziabad,"24th August 2026, Indian Pharmacopoeia Commission, Sector-23, Raj Nagar, Ghaziabad between 9.00 to 10.00 AM",https://www.pharmatutor.org/content/august-2026/pharmacovigilance-assistant-at-indian-pharmacopoeia-commission,NOT VERIFIED,NOT VERIFIED,Master’s degree in Pharmacology/ Clinical Pharmacology/ Pharmacy Practice/Clinical Research. OR Pharm.D/ MBBS/ BDS from a recognized University/Institute. Desirable: 1 year experience in drug safety/ Pharmacovigilance,"32,000/",,15,"Role is not QA-related and requires a Master's degree, which the candidate does not have.",,,,,,,new
34ac470686e8,2026-08-16,Amaris Clinical,Bioanalytical QC,Quality Control,"Chengalpattu, Tamil Nadu",,https://www.pharmatutor.org/content/august-2026/amaris-clinical-hiring-for-bioanalytical-qc,hr@amarisclinical.com,NOT VERIFIED,"B.Pharm / M.Pharm / M.Sc, 7-10 Years (CRO Experience Required)",,MNC,10,Role is not pharma-QA related and requires significantly more experience.,,,,,,,new
